batch,priority,status,title,url,repo_path,action
001,1,read,"The 11 Types of Trendy Graphic Design Paul Rand Hated","https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/","overnight-ai-aesthetic/out/a-c2-20260603-095038-q96-the-11-types-of-trendy-graphic-design-paul-rand-ha.md","kept"
001,2,read,"How Computer Code Became a Modern Design Medium - an Oral History","https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/","overnight-ai-aesthetic/out/a-c2-20260603-095633-q92-how-computer-code-became-a-modern-design-medium-an.md","kept"
001,3,read,"Celebrating Sore Popitz, the Bauhaus' Only Known Woman Graphic Designer","https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/","overnight-ai-aesthetic/out/a-c2-20260603-095657-q96-celebrating-s-re-popitz-the-bauhaus-only-known-wom.md","kept"
001,4,read,"Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne","https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typografiestreit-der-moderne/","overnight-ai-aesthetic/out/a-c1-20260603-042305-q89-max-bill-kontra-jan-tschichold-der-typografiestrei.md","kept"
001,5,read,"Colin Forbes on the Structure of Pentagram","https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram","overnight-ai-aesthetic/out/a-c6-20260603-115755-q100-colin-forbes-on-the-structure-of-pentagram.md","kept"
001,6,read,"Epically Long - How Pentagram Chooses Its New Partners","https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/","overnight-ai-aesthetic/out/a-c6-20260603-120018-q100-epically-long-how-pentagram-chooses-its-new-partne.md","kept"
001,7,read_duplicate,"Pentagram - The world's largest independent design consultancy","https://www.pentagram.com","overnight-ai-aesthetic/out/a-c6-20260603-183030-q100-pentagram-the-world-s-largest-independent-design-c.md","kept"
001,8,read_duplicate,"Pentagram - The world's largest independent design consultancy","http://www.pentagram.com/","overnight-ai-aesthetic/out/a-c7-20260603-120722-q99-pentagram-the-world-s-largest-independent-design-c.md","kept"
001,9,read,"Live from New York: The Lorne Michaels Collection","https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection","overnight-ai-aesthetic/out/a-c6-20260603-183329-q100-live-from-new-york-the-lorne-michaels-collection.md","kept"
001,10,read,"Pentagram Arts & Culture index","https://www.pentagram.com/arts-culture","overnight-ai-aesthetic/out/a-c6-20260603-183052-q100-pentagram.md","kept"
002,11,read,"Riz Ahmed's new show Bait has a spy-spoof title sequence masterminded by Pentagram partners","https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426","overnight-ai-aesthetic/out/a-c6-20260603-183452-q100-riz-ahmed-s-new-show-bait-has-a-spy-spoof-title-se.md","kept"
002,12,read,"MoN Takanawa: The Museum of Narratives","https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives","overnight-ai-aesthetic/out/a-c6-20260603-183411-q89-mon-takanawa-the-museum-of-narratives.md","kept"
002,13,read,"St Paul's Cathedral","https://www.pentagram.com/work/st-paul-s-cathedral","overnight-ai-aesthetic/out/a-c6-20260603-183447-q100-st-paul-s-cathedral.md","kept"
002,14,read_index,"Pentagram Entertainment index","https://www.pentagram.com/entertainment","overnight-ai-aesthetic/out/a-c6-20260603-183106-q99-pentagram.md","kept"
002,15,read_index,"Work - Browse by type of client","https://www.pentagram.com/work","overnight-ai-aesthetic/out/a-c1-20260603-133411-q90-work-browse-by-type-of-client.md","kept"
002,16,read,"Mosaic Rooms","https://www.pentagram.com/work/mosaic-rooms","overnight-ai-aesthetic/out/a-c6-20260603-183402-q96-mosaic-rooms.md","kept"
002,17,read_index,"Pentagram Manufacturing & Industrials index","https://www.pentagram.com/manufacturing-industrials","overnight-ai-aesthetic/out/a-c6-20260603-183114-q100-pentagram.md","kept"
002,18,read_index,"Eye on Design homepage","https://eyeondesign.aiga.org/","overnight-ai-aesthetic/out/a-c1-20260603-133259-q91-eye-on-design-8211-aiga-eye-on-design.md","kept"
002,19,read,"The '80s Are Back, Baby","https://eyeondesign.aiga.org/the-80s-are-back-baby/","overnight-ai-aesthetic/out/a-c2-20260603-095103-q93-the-80s-are-back-baby-8211-eye-on-design.md","kept"
002,20,read,"Unconventional Sleep Aids Are in Vogue, and They're Designed To Chill You Out","https://eyeondesign.aiga.org/food-and-beverage-packaging-is-getting-very-sleepy/","overnight-ai-aesthetic/out/a-c2-20260603-095143-q85-unconventional-sleep-aids-are-in-vogue-and-they-re.md","kept"
003,21,deep_read,"Why Pay Transparency Matters in Job Negotiations","https://eyeondesign.aiga.org/why-pay-transparency-matters-in-job-negotiations/","overnight-ai-aesthetic/out/a-c2-20260603-095317-q91-why-pay-transparency-matters-in-job-negotiations-8.md","kept"
